                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.0485,                 1.1191,                 1.3667,                0.92832,                0.88235,                0.95583,                0.67408,                0.92023,                 1.4614,                 1.5451,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.0594,                 1.2855,                   1.39,                0.99836,                0.94118,                0.96929,                 0.6725,                0.95773,                  1.511,                 1.5369,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.0307,                 1.2194,                 1.3436,                0.99297,                0.94118,                0.96797,                0.61998,                 1.1513,                 1.5508,                 1.7144,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.0595,                 1.1683,                 1.3986,                0.99297,                0.94118,                0.96797,                0.61998,                 1.1513,                 1.5508,                 1.7144,             0.00062262,             0.00062262,             0.00062262
                     60,                  1.069,                 1.3344,                 1.3938,                0.93114,                0.88235,                0.95695,                0.61001,                 1.4124,                 1.6035,                 1.9034,             0.00060847,             0.00060847,             0.00060847
                     61,                  1.054,                 1.1432,                 1.3567,                      1,                0.86674,                0.95225,                0.58439,                 1.4327,                 1.6182,                 1.9132,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.0697,                 1.2253,                 1.3473,                      1,                0.87688,                 0.9585,                0.58799,                 1.2725,                  1.607,                 1.8175,             0.00058017,             0.00058017,             0.00058017
                     63,                0.97596,                 1.1815,                 1.3314,                0.99376,                0.94118,                0.97156,                0.59479,                 1.0869,                 1.5006,                 1.6863,             0.00056603,             0.00056603,             0.00056603
                     64,                0.89332,                 1.0343,                 1.2343,                0.98427,                0.94118,                0.97536,                0.66014,                0.92476,                 1.3325,                 1.5573,             0.00055188,             0.00055188,             0.00055188
                     65,                0.91514,                 1.0248,                   1.29,                      1,                0.94078,                0.97769,                0.67116,                0.94294,                 1.2022,                 1.5433,             0.00053773,             0.00053773,             0.00053773
